instance,dimacs_time,dimacs_size,opb_time,opb_size,opb_pbcount_time,d4_time,d4_count,p2d_time,p2d_count,pbcount_time,pbcount_count
synthesized/except_one/groupCard/small/root_19.uvl,-1;-1;-1,-4,0.90;0.95;0.83,1761,0.00;0.00;0.00,-3;-3;-3,-4,0.01;0.01;0.01,128,0.03;0.02;0.20,128
synthesized/except_one/groupCard/small/root_1.uvl,-1;-1;-1,-4,0.75;0.85;0.79,1729,0.00;0.00;0.00,-3;-3;-3,-4,0.01;0.01;0.08,64,0.02;0.02;0.02,64
synthesized/except_one/groupCard/small/root_20.uvl,-1;-1;-1,-4,0.90;0.88;1.14,3832,0.01;0.01;0.01,-3;-3;-3,-4,0.02;0.02;0.02,921600,-3;-3;-3,-9
synthesized/except_one/groupCard/small/root_21.uvl,-1;-1;-1,-4,0.81;0.78;1.17,3486,0.01;0.01;0.01,-3;-3;-3,-4,0.01;0.01;0.01,4,-3;-3;-3,-9
synthesized/except_one/groupCard/small/root_22.uvl,1.09;0.93;0.92,3511,0.95;0.88;0.80,3108,0.00;0.00;0.00,0.09;0.09;0.09,1,0.01;0.01;0.01,1,0.04;0.04;0.30,1
synthesized/except_one/groupCard/small/root_23.uvl,-1;-1;-1,-4,1.10;0.95;1.02,10285,0.01;0.01;0.01,-3;-3;-3,-4,0.04;0.04;0.04,380928,-3;-3;-3,-9
synthesized/except_one/groupCard/small/root_24.uvl,-1;-1;-1,-4,0.90;0.80;0.98,3184,0.02;0.00;0.00,-3;-3;-3,-4,0.01;0.01;0.01,256,-3;-3;-3,-9
synthesized/except_one/groupCard/small/root_25.uvl,-1;-1;-1,-4,1.07;0.92;0.98,4196,0.01;0.01;0.01,-3;-3;-3,-4,0.02;0.02;0.02,73728,-3;-3;-3,-9
synthesized/except_one/groupCard/small/root_26.uvl,-1;-1;-1,-4,1.20;1.24;1.11,19202,0.02;0.02;0.02,-3;-3;-3,-4,0.11;0.11;0.11,62193780,-1;-1;-1,-9
synthesized/except_one/groupCard/small/root_27.uvl,-1;-1;-1,-4,1.02;1.04;1.41,23590,0.03;0.03;0.02,-3;-3;-3,-4,0.07;0.08;0.08,24877021003776,-1;-1;-1,-9
synthesized/except_one/groupCard/small/root_28.uvl,-1;-1;-1,-4,0.96;1.03;1.04,7497,0.01;0.01;0.01,-3;-3;-3,-4,0.03;0.02;0.03,104448,-3;-3;-3,-9
synthesized/except_one/groupCard/small/root_29.uvl,-1;-1;-1,-4,0.85;1.03;0.94,11174,0.01;0.01;0.01,-3;-3;-3,-4,0.04;0.12;0.09,18414720,-3;-3;-3,-9
