instance,dimacs_time,dimacs_size,opb_time,opb_size,opb_pbcount_time,d4_time,d4_count,p2d_time,p2d_count,pbcount_time,pbcount_count
isolated/featureCard/featureCard_0.25_1.0/root_400.uvl,5.88;4.85;5.03,4907207,1.24;1.32;1.36,168806,0.18;0.18;0.20,-1;-1;-1,-9,36.88;67.62;54.58,133753606457057640914718385209153706717210208723083658333837745084837717764157368584464659925771041582257230954168299268268564364061546880418452006890048600964965681417180277582824623279613846912986077167389842235776992644764966116648750814635253795104555729548544497837144445798405745097741903410823918434798136050232123938995489743601160578196950337465704004579247317233321219292138917661890308256675487854959478761671724465104922034906691205581995259825399341473977417474039488568542028599044133427255133815324337774011266610493716189133579592686040606686534083474796980595040227474572984958618957199112715968352684437591077086554711135537455990586562242351580731367703410167575070617350210342003509561844608120725708822643133460928117599986965748002991037247167078023284177787988851446569716333625091790197687824682872801175946857039945731724984260960107532820931703308314768436285669377,54.24;38.94;45.31,-9
isolated/featureCard/featureCard_0.25_1.0/root_4100.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
isolated/featureCard/featureCard_0.25_1.0/root_4200.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
isolated/featureCard/featureCard_0.25_1.0/root_4300.uvl,-3;-3;-1,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
isolated/featureCard/featureCard_0.25_1.0/root_4400.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
isolated/featureCard/featureCard_0.25_1.0/root_4500.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
isolated/featureCard/featureCard_0.25_1.0/root_4600.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
isolated/featureCard/featureCard_0.25_1.0/root_4700.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
isolated/featureCard/featureCard_0.25_1.0/root_4800.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
isolated/featureCard/featureCard_0.25_1.0/root_4900.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
isolated/featureCard/featureCard_0.25_1.0/root_5000.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
isolated/featureCard/featureCard_0.25_1.0/root_500.uvl,6.99;8.25;9.00,7662132,1.62;1.62;1.64,261006,0.28;0.27;0.32,-1;-1;-1,-9,70.91;76.85;82.36,454185927082557335970358438736871462914683392067093807012561319458382321196011886212798473641855554919261584352205638415183386951043026678941679866486398211188861558357899389892627295125847105510876846099173022753575254850155065243173953711712064343235964383197171420896071463474655169286300108773230227527457712046392265611212468593611009478487168878317867674157293314391084549486108136602691646295071090923523741912306464480713096964306834328779587084468297000981056354611624971267251170716037633840083580592136093685724146181286306083406658188356263565003127425443911555054208589351985870095205364038096877707879094900558402180232047179489778557921290685046461966834516030996412846672706252070509663585537758265266509292728773104968512231824030013487495379197815319252039372725117033563342171663160460907829641083412490286867629077328043029692947595090946236453931987722049034106890979654547975556195223923075454960265426771141953424495689782365582048913789565927802656993582282387115942486912751283868895758005750099722360517224788439375812222590619312212373662956339744191498696428825468338551372303355084801,63.93;61.33;63.62,-9
isolated/featureCard/featureCard_0.25_1.0/root_600.uvl,21.02;10.90;9.69,11028307,2.20;2.21;2.13,373206,0.47;0.42;0.46,-1;-1;-1,-9,110.67;121.04;126.70,1542275096904179704216483178994918651284096325079390954550158029520639861569534049131537932635028251343609769572655854303524327642869049820231313063721416902581083169798688380350515582011559038024113365819546932693694324841186555003924000958599829663190801007921418159447017809265117452973830089606283907162579102756376900577429800412942823944402562992966143573692831570007682526870356680191263372063224420594473508588950372795334688722818703657208720904095123925610451133929695821539162368557379230882982653897206441912925349302147313421616141187477616668781750852315804248674587091907612647036512829296648630713853215446694344991084625881211175756048233947812895709119767436810006758024581540434324438977286273183137757057245294668634622747568617099909611969325941982052068730179406906675593832689764566253375883542555716263633384942436858083749431664064748045824718148437961817153839159171088572203418633711780275482088456404220345712308779978787044243209743011874679748133363226148571307771809037559066598570141452902692101720704933391270753878972016044479485670760482969077092837091889967197915421884091976870297977093441251954297214709610031171348905522520726794102807824039416116195734561818391542489106698074321238445329450723142844258095658243753281648348198848598456920576815950969091458499049572641565446783039849956095557633,474.12;536.54;-1,-9
isolated/featureCard/featureCard_0.25_1.0/root_700.uvl,13.06;16.25;12.78,15005732,3.03;3.11;2.98,505406,0.54;0.53;0.53,-1;-1;-1,-9,267.84;252.94;424.38,5237089774687001072636127300926832337050581952107376433367267842671330154063802024863834405655527171864679684199292510702656575913114813472801579022414203131168427927655153894290582859022672127246791823685614598137013944864930690960496056622648718985694073687750574821927059046029214570219423303335005195518585335466775643210205692041493552418180065826697394618774757204285276006372274500672731283678814833094583642219329923688710594835834249746006831288312856404811563625038831470474140279954093718226057418062287312402914719799716167599728984891221005576970093589514932682758105319677509813151659124273961609865973290367528162842349444304189398344128553061916317346363565586753581389562169917918515859154849310459430088664488621935734726245565030541416077708453898679037860359583009031405579305158906846958486287000529641145426841234358244239860479200086860859979886645634721417813740141718124282312514983912181889210525016525715329314588863498064556758402734742977384501826605554218477324035981291604795827058954224287240418917672512416110962030378636848727961679701993506051395660154595034857847267066286795885348615169142212748795688752847252658474294358354586648317571648847790566999955044632321191552890078235039327083330551850450307315717498756110870930060740924971995266216111259922405674341343993304738856300289791659801289477202299510719178656894829829692513671707697964615235746424185141602799024001522701506884278570495575455117285012619595097788977126684650697374237041416017961103544035786209680084251378520041826935240164746038474732845662209,559.80;-1;-1,-9
isolated/featureCard/featureCard_0.25_1.0/root_800.uvl,17.21;22.53;15.29,19594407,4.01;4.72;3.94,657606,0.66;0.71;0.67,-1;-1;-1,-9,395.57;347.54;371.35,17783538982886895194644565848405098624943569612575646544938496333417906728466454645828895978326456336748300848670987266199345249730066076284103852932400070681630308314595505498514347367810901348065621309665602643782126354833242471005349768450222952996640918942782740207244839594192106904783117975723086321193038926473563872796167136442934108236935438071766010511359534695981881176598973172537881526172993695726979203956377710871127394356589582337240547534871958706042800227568636326319555764180579396548062963960291806057503691150064014408351268701909233348571571203222588908146478834681445079218276759965235556919629413615586482758740746037360860750463461232307071228314059579437514177476213035089507437257710749011388847731185630126957977475006538759525651966475260908117213582112703324168060922299996221017051141523876384226705265999042779457063185454111427642000731170646442893366409898062460807532112433828532761779830903111152980281575394113142636645110726915855237719810230438726377206925762890977756892957206325038497733605989301976194081695500104110187818906622105669313003228527777586566150956186162530165697312583359002203676555948899311659321597072908145505913894913597281027545668089823942662868572884016241906052776759728365216175481197489374762258532288904763138107851945359019641733994207081644383995552506742423295563381884311326564765409620305255827523678319510629610126275438246275201520284846871652201768764762580499913673940776255451681408950443361331972316506651922833187137206958310476904888625650905600347945138875447428208130332100556457007797054342255505808956991686070724741616539978579588741561288714273383079515337108463359668388724112540458285759956942213217830083647753882123260142708409813910920240476539324328803290484096509844099767232029184229377,-1;-1;-1,-9
isolated/featureCard/featureCard_0.25_1.0/root_900.uvl,23.41;28.06;19.30,24794332,5.26;5.13;5.20,829806,1.01;0.87;0.86,-1;-1;-1,-9,581.71;-1;-1,60387404524635833591587820497073600815791612893737853434221120075295187675788994095331360495654400992375727723796008035293989017721671399354922185046021912242789857466485501483427004310058158985922087771643257577159169130493754222128240018538615715184921224600186182009316837785070284513434666894277722530357643517607072546497272810951831153764372355984037586468167540460687643931970987241808157543713479378638398718332172472361768459101541772389730656447785781254841795431418009198526780639570267067786645784636749448829985370227257464039073127715861963523490096113266205086717912234206168778300550664964587837314466886351951947200964702909504758358898546355456316435426173701880032272433358516327843439442867188364167480318039712738988430732887510725013547925587654789949683153839148801818753479249792246119196869914426039645878486303736519238238891987817811814610705985781904528773959418736607158333341932509740749271503728678794373921670134960395072209110431948490543459186842433229454353276573781728297203407490102055982360712220814673154760042766439194173333761320870719196813147470587120849380750123364138827740493552104452358668208979655757374934101026587761646905750723979409676778268928993368568729817330272244709596815627618786358704587996638191604088871078098493572801723967623216419022687660692849151010085738175482564223289068384124161835091558447186345640218578534747636428737708674474793426056871241245272012143862909824643558694180974062348038280284691657464982181893450210775524094106981771031167101342336288932602133269801376835185914545257010683091661171287083073113092210502273221123766170296029059763715352836094388512719666969048619705943140586478135929405981000100670060185982773646204510480617226710056774374843572289857956462899667221011596054124282531864156042207659076905804588394305914923092816249649687145361583922641091442249683872607064470296853725599453114486462063854176184520211920116104382415745092411757602720137981198357711451416425316859555534408970729281080524801,-1;-1;-1,-9
isolated/featureCard/featureCard_0.5_0.75/root_1000.uvl,8.97;9.55;9.29,10103507,3.43;3.55;3.45,579006,0.57;0.58;0.58,-1;-1;-1,-9,236.59;276.38;281.29,9650595326974633339528890662056455479228639732090154709675601008870046855926613986576429440303764665677677225707157977942584848439705186685386497233624535345523773107358541671934411799901377693980310703507130221215832223371795396273156630602658297374841142462337533678271996762927172463519435272038908989576224267086606442291736119677766895721393967642927546037809845000524225954046252142393771884118723098482814669311093569539563024394526815426854501698089354323467736657924747167015539040577110472529478225654038654525046459533781871849493399185128031914238076680286349038118512249634216869608946233779352058716871155759299361802173141985525748582402093853035720194292709431870920692765998995554177917903213151539635987653554849454300432062681939789151518901019915791143460215703221731562488968995557989444279417206681672378490785221095075961529802326386106251861272041964684634064911892514361204950408257025108241956728126151904573259251399075657144540143520130160682162207278624868395033553693003959532784455591090318028894396203092629043036882697317508173388005540583025853483357227079821495156749773790970717200234801713121396707738645484220808616540954342001779446939794348581265052259700941954706252491061122705053307978385323016803500330041439577160446915926676494216523284276603934875876709774856658656259767505195435582068468369253899961052594412135135353397598179462339041593270093549337042768597622928850241922172567815444772484214336692506779416149134349788981718178659832768602108090475314621650847306447349687555849766779664932030935099396608353435743932544580083222570999873373369250683419487336584404404116205365188135247535255665381019078840043962369,-1;-1;-1,-9
isolated/featureCard/featureCard_0.5_0.75/root_1100.uvl,10.72;10.80;10.70,12220732,4.22;4.32;4.26,698781,0.73;0.72;0.86,-1;-1;-1,-9,327.01;305.98;349.02,763396622938284555553116641135333122698303665437093663907428623655597661202175068537283582260886088581201612776560711047450370650388243822167701272291444501250395756605143641309215706544744860374039086522556666739101511778824626243634812650086344501976790499236369801810507382058624907161373418537492691667418751968791062365960200102758440715706118180409899164676243961108794789926694689512745784577263608281994599825610145499239837778737204916373880405422782160695173562302545211366813676312378504205799563862466875310684414733904094045524975195094001509516500019995959718862022647020764840957438750086334927755386072735192814685121420408668149734795544345933094790816656071079379243056279858582775863837977207213012426378083938351544079224949397000607972822397182385086391348665556518299623011210088695049119051594855438735357476124742847242865980806737360488915226215365114562618150351184404712657262077254064349973734872151553867965773633985079681281438436090153132936135390934408660794541213441170378122646508918577524410250382332990739395156541658558597913329327403425537105228029022925737124251404373166437547865004389499023637549034444927842967462137146822213786098963879822479196441363911358417189636596079042217934101575694288107480021958875849429034454895264246285701107006887955965651222241046641140370277221025229431717407870448843676890545051576989129048546165048390796016367287438999749539162666495198398200922059993349675732682244505320339961889023900875639677844204604795851950247715829969516045947706579998228395847935030346867177425626016487700040542638649057216846388392204056053492490709251239377919569065220025931165903104706304716512128719320805260602657353785822167539289941961599709004072171809745764636038208208894561162034035877537650310619198437660057297189402216187613505762365980146700346479204154893926401,-1;-1;-1,-9
isolated/featureCard/featureCard_0.5_0.75/root_1200.uvl,17.76;12.79;12.48,14539207,6.13;6.00;6.07,829806,0.82;0.83;0.85,-1;-1;-1,-9,448.93;434.99;525.08,60387404524635833591587820497073600815791612893737853434221120075295187675788994095331360495654400992375727723796008035293989017721671399354922185046021912242789857466485501483427004310058158985922087771643257577159169130493754222128240018538615715184921224600186182009316837785070284513434666894277722530357643517607072546497272810951831153764372355984037586468167540460687643931970987241808157543713479378638398718332172472361768459101541772389730656447785781254841795431418009198526780639570267067786645784636749448829985370227257464039073127715861963523490096113266205086717912234206168778300550664964587837314466886351951947200964702909504758358898546355456316435416993492969888345622546116452873685566176138810123486540955438753746526794973617575421060231331534246237720239716197288107299148042238378141629530249417605701943467435887183640914394475844246112086221665427458500835302723253353854738556212518075096514415627441166884877342648000483658798551919510357901154647681107298639468887110684032208965643189131859755315630715864851680459287585744669225337499039772977563042263012549187543817126773252807534831440551538238515748856991978996532439086928031932891649901593638895141582284706956777417410673632727735086568352824926430381033905930614932004999368025543156378571284365150319428873931204586413370202014022497221773177401450720809816556769983557064712756653237545026308227802844119149384886635754761381582073977378826836655153523168001402189254983661538296951569230205696902940621514434708325118746573076791519746405938767565298471779026413879541867358891464962137755871941787488621095056302456714562157887378291297006813712982119779022827254109380674639950143665427653406472950173120121578355977404993219705519472454212558990406305219133283931325813639179899205812960986566616802193857459048760826042702205547860795969543327843448383926489458063977397311356896349533201060838417750606347455248495699093304019306762859600194667856766908028426677445062390222600807141279481466947031269377,-1;-1;-1,-9
